web_scraper_order,web_scraper_start_url,title,bid-id,due-date,stage
"1784987501-22","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Plant Mix Asphalt Concrete - West Slope","2026-0114","03/31/2026 03:00pm","Canceled"
"1784987501-23","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed Urgent or Immediate Road Repair Services","2026-0110","03/31/2026 03:00pm","Closed"
"1784987501-24","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Confidential Document and E-Waste Destruction Services","2025-0174","03/30/2026 03:00pm","Award Pending"
"1784987501-25","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Temporary Staffing Services for Behavioral Health Division","2025-0187","03/19/2026 03:00pm","Canceled"
"1784987501-26","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Operational Banking Services","2026-0100","03/16/2026 03:00pm","Closed"
"1784987501-27","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Tax Bill Design, Printing, and Processing Services","2026-0103","03/13/2026 03:00pm","Award Pending"
"1784987501-28","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Culverts, Pipes and Couplers","2026-0108","03/13/2026 03:00pm","Award Pending"
"1784987501-29","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Dell 5860 and 5820 Computers or Current Equivalent","2026-0107","03/10/2026 03:00pm","Awarded"
"1784987501-30","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Mobile Identification FIngerprint Readers","2026-0105","03/06/2026 03:00pm","Award Pending"
"1784987501-31","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP Indoor Gun Range Cleaning Services","2025-0169","03/06/2026 03:00pm","Awarded"
"1784987501-32","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","AppEnhancer / AppXtender On-Prem Maintenance Renewal","2025-0106","02/24/2026 03:00pm","Awarded"
"1784987501-33","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Waterborne Traffic Line Paint","2025-0177","01/16/2026 03:00pm","Awarded"
"1784987501-34","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Document Management Software","2025-0146","01/09/2026 03:00pm","Canceled"
"1784987501-35","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Ammunition","2025-0167","12/19/2025 03:00pm","Awarded"
"1784987501-36","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Janitorial Services","2025-0166","12/17/2025 03:00pm","Award Pending"
"1784987501-37","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ Patients' Rights Advocate Services","2025-0155","12/12/2025 03:00pm","Award Pending"
"1784987501-38","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Emergency Vehicle Preemption Equipment","2025-0172","12/10/2025 03:00pm","Award Pending"
"1784987501-39","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Right of Way Services for the US 50 / Ponderosa Road Interchange - Durock Road Realignment and North Shingle Road Realignment","2025-0157","12/10/2025 03:00pm","Award Pending"
"1784987501-40","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Drainage Study and Analysis for the El Dorado Drainage Improvement Project #36106004","2025-0171","11/21/2025 03:00pm","Award Pending"
"1784987501-41","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025/2026 Toyota Camry SE AWD or Equivalent","2025-0164","11/21/2025 03:00pm","Rejected"
"1784987501-42","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Dual Kettle Thermoplastic Trailer","2025-0170","11/20/2025 03:00pm","Awarded"
"1784987501-43","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Cutting Edges","2025-0161","11/18/2025 03:00pm","Award Pending"
"1784987501-44","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Law Enforcement Duty & Safety Gear Accessories","2025-0168","11/17/2025 03:00pm","Awarded"
"1784987501-45","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP -  As-Needed Engineering Services for Structural Steel Replacement, Retrofit, and Repair","2025-0149","11/17/2025 03:00pm","Canceled"
"1784987501-46","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Psychiatric Health Facility Operation and Management","2025-0145","11/07/2025 03:00pm","Award Pending"
"1784987501-47","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025-0160 Grader/Truck- Chains, Hooks, Fasteners","2025-0160","11/06/2025 03:00pm","Awarded"
"1784987501-48","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025-0159 Emergency Vehicle Preemption Equipment","2025-0159","10/30/2025 03:00pm","Canceled"
"1784987501-49","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Snow Plowing, Sanding, and Sweeping Services","2025-0153","10/24/2025 03:00pm","Awarded"
"1784987501-50","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Diesel Fuel & Winterization Fuel Additive","2025-0158","10/20/2025 03:00pm","Awarded"
"1784987501-51","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Drainage Study and Analysis for the El Dorado Drainage Improvement Project #36106004","2025-0128","09/19/2025 03:00pm","Canceled"
"1784987501-52","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025/2026 Ford 4x4 with Utility Bed","2025-0152","09/16/2025 03:00pm","Awarded"
"1784987501-53","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025/2026 Ford F550 XL Super Cab 4x4 Diesel with Complete Maintainer Utility Bed","2025-0138","09/16/2025 03:00pm","Canceled"
"1784987501-54","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025/2026 Chevrolet Silverado 1500 LT 4x4 Crew Cab Short Bed","2025-0150","09/11/2025 03:00pm","Award Pending"
"1784987501-55","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","PlyLok Dining Room Chairs or Equivalent","2025-0151","09/08/2025 03:00pm","Awarded"
"1784987501-56","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Sign Blanks and Marker Plates","2025-0147","09/08/2025 03:00pm","Awarded"
"1784987501-57","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed Vehicle Abatement Services","2025-0122","09/02/2025 03:00pm","Closed"
"1784987501-58","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Construction Management Services for the Weber Creek Project","2025-0139","08/29/2025 03:00pm","Awarded"
"1784987501-59","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Washoe Sand for Winter Traction","2025-0143","08/26/2025 03:00pm","Award Pending"
"1784987501-60","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025/2026 Subaru Outback Premium","2025-0142","08/26/2025 03:00pm","Awarded"
"1784987501-61","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025/2026 Chrysler Pacifica AWD or Equivalent","2025-0148","08/19/2025 03:00pm","Awarded"
"1784987501-62","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","High Performance Cold Patch Mix","2025-0137","08/18/2025 03:00pm","Awarded"
"1784987501-63","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - As-Needed Landfill Maintenance Services","2025-0120","08/13/2025 03:00pm","Award Pending"
"1784987501-64","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","PlyLok Dining Room Chairs or Equivalent","2025-0141","08/08/2025 03:00pm","Canceled"
"1784987501-65","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Poly Savi Telecommunications Headset Equipment & Accessories","2025-0136","08/06/2025 03:00pm","Awarded"
"1784987501-66","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ As-Needed Background Investigation Services","2025-0118","08/01/2025 03:00pm","Award Pending"
"1784987501-67","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP Food Services for El Dorado County Jails","2025-0111","07/29/2025 03:00pm","Awarded"
"1784987501-68","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Toyota Sienna XLE AWD","2025-0135","07/24/2025 03:00pm","Closed"
"1784987501-69","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed Sealcoating and Striping Services","2025-0113","07/24/2025 03:00pm","Awarded"
"1784987501-70","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Opioid Remediation Services","2025-0129","07/23/2025 03:00pm","Award Pending"
"1784987501-71","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Jeep Grand Cherokee Limited 4x4","2025-0134","07/22/2025 03:00pm","Awarded"
"1784987501-72","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Upfit of three (3) 2026 Freightliner 114SD Chassis into Fully Functional Dump Trucks","2025-0132","07/21/2025 03:00pm","Awarded"
"1784987501-73","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","GUARDRAIL MATERIALS","2025-0131","07/14/2025 03:00pm","Awarded"
"1784987501-74","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Environmental Review Services - White Rock Road Widening Project","2025-0125","07/11/2025 03:00pm","Award Pending"
"1784987501-75","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed Tree and Brush Removal Services","2025-0121","06/27/2025 03:00pm","Award Pending"
"1784987501-76","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ As-Needed Thermoform PVC Pipe Lining","2025-0116","06/24/2025 03:00pm","Award Pending"
"1784987501-77","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Short-Term Rentals Software and Consulting Services","2025-0115","06/11/2025 03:00pm","Award Pending"
"1784987501-78","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed Road Surface Treatment Services","2025-0119","05/28/2025 03:00pm","Awarded"
"1784987501-79","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Jeep Compass Latitude 4x4","2025-0126","05/20/2025 03:00pm","Awarded"
"1784987501-80","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2025-0124 HVAC Filters","2025-0124","05/14/2025 03:00pm","Awarded"
"1784987501-81","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Independent Living Program (ILP)","2025-0114","05/09/2025 03:00pm","Award Pending"
"1784987501-82","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Printing & Productions Services","2025-0117","04/23/2025 03:00pm","Awarded"
"1784987501-83","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Psychiatric Health Facility Operation and Management","2025-0104","04/22/2025 03:00pm","Canceled"
"1784987501-84","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP As-Needed Road Materials Truck Hauling Services","2024-0124","04/15/2025 03:00pm","Award Pending"
"1784987501-85","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Senior Travel Services (Domestic and International)","2025-0101","04/01/2025 03:00pm","Awarded"
"1784987501-86","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - As-Needed Right of Way Services","24-0123","03/26/2025 03:00pm","Awarded"
"1784987501-87","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Bulk Lubricants","2025-0110","03/20/2025 03:00pm","Awarded"
"1784987501-88","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Hot Applied Asphalt Cracksealer","2025-0108","03/19/2025 03:00pm","Awarded"
"1784987501-89","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP #2025-0102 Glassy-Winged Sharpshooter Delimitation","2025-0102","03/07/2025 03:00pm","Canceled"
"1784987501-90","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Surefire Riffle Lights & Aimpoint Riffle Sights","2025-0106","03/07/2025 03:00pm","Awarded"
"1784987501-91","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ-Construction Management Services for the Weber Creek Project","24-0115","02/25/2025 03:00pm","Canceled"
"1784987501-92","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Ambulance Billing Services","24-0121","02/24/2025 03:00pm","Awarded"
"1784987501-93","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Road Sign Components","2025-0105","02/19/2025 03:00pm","Awarded"
"1784987501-94","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Family Urgent Response System (FURS) Mobile Response System and Stabilization Team (MRSST) Services","24-0122","01/31/2025 03:00pm","Canceled"
"1784987501-95","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Gardening and Landscape Maintenance Services","24-0114","01/20/2025 03:00pm","Canceled"
"1784987501-96","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Master Plan Traffic Operations","24-0111","01/20/2025 03:00pm","Awarded"
"1784987501-97","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","APC SMART UNINTERRUPTIBLE POWER SUPPLY (UPS) BATTERIES & ENCLOSURE","2025-0100","01/15/2025 03:00pm","Awarded"
"1784987501-98","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","2023 Ford Transit Cargo Van Prisoner Transport System Upfit","24-0119","12/20/2024 03:00pm","Awarded"
"1784987501-99","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Environmental, Engineering Design, and Traffic Operations Support Services - Country Club Drive","24-0116","12/19/2024 03:00pm","Award Pending"
"1784987501-100","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ-Electrical, Heating, Ventilation, and Air Conditioning, Elevator, Environmental, Snow Removal, Pest Management, Restoration and Repair, Surveying, Fire Suppression, Arborist, and Roofing Services","#24-0039","12/13/2024 03:00pm","Awarded"
"1784987501-101","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Equipment / Truck Tires, Tubes, Wheels and Related Products and Services - East and West Slope","24-0075","11/26/2024 03:00pm","Closed"
"1784987501-102","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Beverage and Snack Vending Services","24-0104","11/26/2024 03:00pm","Awarded"
"1784987501-103","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Residential Weatherization Services for El Dorado County and Alpine County","24-0101","11/14/2024 03:00pm","Award Pending"
"1784987501-104","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Centrifuge Control Panels","24-0110","11/13/2024 03:00pm","Canceled"
"1784987501-105","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Animal Transport Truck Body","24-0107","11/12/2024 03:00pm","Awarded"
"1784987501-106","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Nissan Altima SV AWD","24-0113","11/08/2024 03:00pm","Awarded"
"1784987501-107","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP As Needed Traffic Engineering and Transportation Planning Services","24-0102","11/08/2024 03:00pm","Award Pending"
"1784987501-108","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Guide Marker “U” Channel Guide Posts, “U” Channel Sign Posts, Tube Posts and Tube Post Anchors","24-0112","11/07/2024 03:00pm","Awarded"
"1784987501-109","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Juniper Network Switches","24-0108","11/06/2024 03:00pm","Awarded"
"1784987501-110","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Homelessness Outreach, Prevention, Housing Support and Supportive Services","24-0103","11/06/2024 03:00pm","Award Pending"
"1784987501-111","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - As Needed Sludge Removal, Transportation, and Disposal Services","24-0109","11/03/2024 03:00pm","Awarded"
"1784987501-112","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","AMMUNITION","24-0074","10/30/2024 03:00pm","Awarded"
"1784987501-113","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Substance Use Disorder Residential Treatment Services","24-0060","10/10/2024 03:00pm","Canceled"
"1784987501-114","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Plant Mix Asphalt Concrete - East Slope","24-0054","09/12/2024 03:00pm","Awarded"
"1784987501-115","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP Environmental Planning Services for the Shingle Springs El Dorado Trail Class I Improvements Project #36109014","24-0070","08/30/2024 03:00pm","Awarded"
"1784987501-116","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP Environmental Planning Services for the La Canada Drive & Gateway Drive Pedestrian/Bicycle Improvements Project #36109016","24-0071","08/30/2024 03:00pm","Awarded"
"1784987501-117","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Tax Consulting Services","24-0100","08/29/2024 03:00pm","Award Pending"
"1784987501-118","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Fujitsu Document Scanner fi-8170","25-0001","08/19/2024 03:00pm","Awarded"
"1784987501-119","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - As-Needed Environmental Review Services","24-0065","08/16/2024 03:00pm","Award Pending"
"1784987501-120","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Level 3 Electric Vehicle Supply Equipment","24-0069","08/14/2024 03:00pm","Awarded"
"1784987501-121","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP Professional Occupational Health Consulting Services","24-0068","08/12/2024 03:00pm","Awarded"
"1784987501-122","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Guide Marker “U” Channel Guide Posts, “U” Channel Sign Posts, Tube Posts and Tube Post Anchors","24-0046","08/07/2024 03:00pm","Canceled"
"1784987501-123","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Drug Medi-Cal Organized Delivery System ASAM Levels 3.1 and 3.5 Clinically Managed Residential Treatment Services","23-952-077","07/31/2024 05:00pm","Canceled"
"1784987501-124","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Avaya IP Phone J179","24-0072","07/30/2024 03:00pm","Awarded"
"1784987501-125","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Bass Lake at Bridlewood Roundabout Design Project","24-0055","07/23/2024 03:00pm","Award Pending"
"1784987501-126","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Electronic Document Management System and Document Scanning","24-0032","07/12/2024 03:00pm","Award Pending"
"1784987501-127","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFI - Probation Services and Institutions Case Management System","24-0061","07/01/2024 05:00pm","Closed"
"1784987501-128","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Planning and Building Consulting Services","24-0052","06/28/2024 03:00pm","Awarded"
"1784987501-129","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Funeral, Mortuary, Burial and Cremation Services","24-0057","06/28/2024 03:00pm","Award Pending"
"1784987501-130","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Youth Specialty Mental Health Services (SMHS)","24-0051","06/24/2024 03:00pm","Awarded"
"1784987501-131","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Prisoner Transport Upfit","24-0066","06/19/2024 03:00pm","Awarded"
"1784987501-132","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Above Ground Fuel Tanks","24-0067","06/12/2024 03:00pm","Awarded"
"1784987501-133","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Construction Support Services for the Diamond Springs Parkway - Phase 1B Project #36105011","24-958-040","06/12/2024 03:00pm","Awarded"
"1784987501-134","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ Janitorial Services","24-0043","06/07/2024 03:00pm","Awarded"
"1784987501-135","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","EMULSION: SS-1H and PMCRS-2H","24-0059","05/31/2024 03:00pm","Awarded"
"1784987501-136","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Audit Services for the Examination of Annual Financial Statements","24-0058","05/27/2024 03:00pm","Award Pending"
"1784987501-137","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ Behavioral Health Crisis Intervention Services","24-0037","05/24/2024 03:00pm","Awarded"
"1784987501-138","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Mental Health Block Grant, Dialectical Behavior Therapy and Transitional Age Youth First Episode Psychosis Services","#24-0047","05/13/2024 03:00pm","Award Pending"
"1784987501-139","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Ford Transit, AWD, T-350, 15-Passenger Van w/High Roof","24-0053","05/08/2024 03:00pm","Closed"
"1784987501-140","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Ford Transit T350 AWD","24-0049","05/01/2024 03:00pm","Awarded"
"1784987501-141","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Fleet Tires","24-0048","04/17/2024 03:00pm","Awarded"
"1784987501-142","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Continuum of Care Technical Assistance Consultant","24-0036","04/16/2024 03:00pm","Awarded"
"1784987501-143","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Environmental Health/Air Quality Permit and Data Management System Software Solution","24-0033","04/12/2024 03:00pm","Award Pending"
"1784987501-144","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Navigation Center Operations and Meal Services","24-952-039","04/05/2024 03:00pm","Award Pending"
"1784987501-145","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Fiber Food Trays, Sealing Film & Sealing Equipment Rental","24-0041","03/29/2024 03:00pm","Awarded"
"1784987501-146","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Clinically Managed Residential Withdrawal Management Services ASAM Level 3.2 Services","22-952-050","03/29/2024 03:00pm","Canceled"
"1784987501-147","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Tenable Vulnerability Management","24-0042","03/22/2024 03:00pm","Awarded"
"1784987501-148","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed Solid Waste, Landfill, and Wastewater Treatment Plant General Engineering and Construction Quality Assurance Services","24-0034","03/22/2024 03:00pm","Award Pending"
"1784987501-149","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-Needed and Emergency Vacant or Damaged Structure Securing and Demolition Services","#24-0029","03/21/2024 03:00pm","Awarded"
"1784987501-150","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - County Service Areas 3 & 7 Audit Services","24-0030","03/12/2024 03:00pm","Award Pending"
"1784987501-151","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Chevrolet Colorado 4 Wheel Drive Trucks","24-0035","03/06/2024 03:00pm","Awarded"
"1784987501-152","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - As-Needed Weed Abatement Services in Various County Service Area Road Zones of Benefit","24-988-039","03/04/2024 03:00pm","Awarded"
"1784987501-153","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - As-needed Road Maintenance in Various County Service Area Road Zones of Benefit","24-913-038","03/01/2024 03:00pm","Award Pending"
"1784987501-154","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFQ - Various As-Needed Services","#24-961-002","02/23/2024 03:00pm","Canceled"
"1784987501-155","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Environmental Planning Services for the Henningsen/Lotus Road Class I Multi-Use Trail Project #36109015","24-925-037","02/22/2024 03:00pm","Awarded"
"1784987501-156","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Office Furniture","24-0028","02/16/2024 03:00pm","Awarded"
"1784987501-157","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Weber Creek Environmental Hazard Review","24-918-021","02/16/2024 03:00pm","Awarded"
"1784987501-158","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","Traffic Control Items","24-0027","02/07/2024 03:00pm","Awarded"
"1784987501-159","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Construction Management, Material Testing, and Surveying Support Services for the Pioneer Trail Roundabout Construction Project","24-958-031","02/05/2024 03:00pm","Award Pending"
"1784987501-160","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Auctioneer Services of County Surplus Property","24-962-034","01/25/2024 03:00pm","Awarded"
"1784987501-161","https://pbsystem.planetbids.com/portal/48157/bo/bo-search","RFP - Construction Support Services for the El Dorado Trail - Missouri Flat Road Bike/Pedestrian Overcrossing Phase 2 Project #36109002","24-958-035","01/19/2024 03:00pm","Award Pending"
